PLATEAU_3D-Spatial-ID_CSV,0100,20,0
gml_id,spatial_id
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934988/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934997/406121
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934993/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934992/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934996/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934981/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934984/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934998/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934994/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934996/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934984/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934992/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934996/406123
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934996/406123
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934994/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934990/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934993/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934994/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934995/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934989/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934996/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934989/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934992/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934984/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934986/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934994/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934995/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934989/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934980/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934988/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934990/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934988/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934996/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934980/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934987/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934981/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934988/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934997/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934985/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934990/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934992/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934997/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934992/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934989/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934988/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934987/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934989/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934987/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934995/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934991/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934994/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934981/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934996/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934986/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934997/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934987/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934981/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934989/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934989/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934986/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934983/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934988/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934987/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934986/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934997/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934994/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934987/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934993/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934991/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934997/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934990/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934979/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934997/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934988/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934987/406129
